mean_failure_rate,mean_jaccard,mean_sequence_disagreement,mean_success_gap,mean_tool_set_disagreement,n,pair_label,task_category
0.0,1.0,0.073611,0.0,0.0,4,c1-c2,add_logging
0.0,0.7125,0.405407,0.0,0.2875,4,c1-c2,add_tests
0.75,0.780092,0.357241,0.0,0.219907,4,c1-c2,benchmark
0.25,0.73287,0.407832,0.0,0.26713,4,c1-c2,bug_fix
0.0,0.625,0.414284,0.0,0.375,4,c1-c2,rename
0.0,0.972222,0.108333,0.0,0.027778,4,c1-c3,add_logging
0.0,0.724537,0.375364,0.0,0.275463,4,c1-c3,add_tests
0.666667,0.8375,0.365382,0.166666,0.1625,4,c1-c3,benchmark
0.25,0.835648,0.268458,0.0,0.164352,4,c1-c3,bug_fix
0.0,0.909722,0.185567,0.0,0.090278,4,c1-c3,rename
0.0,0.611112,0.518056,0.0,0.388888,4,c1-c4,add_logging
0.083333,0.854167,0.360155,0.166667,0.145834,4,c1-c4,add_tests
0.541666,0.800926,0.455486,0.416667,0.199074,4,c1-c4,benchmark
0.25,0.663889,0.472209,0.0,0.336111,4,c1-c4,bug_fix
0.0,0.813889,0.402315,0.0,0.186111,4,c1-c4,rename
0.0,0.638889,0.597321,0.0,0.361111,4,c1-c5,add_logging
0.083333,0.768518,0.409044,0.166667,0.231482,4,c1-c5,add_tests
0.75,0.866667,0.416893,0.0,0.133333,4,c1-c5,benchmark
0.25,0.715278,0.473048,0.0,0.284722,4,c1-c5,bug_fix
0.0,0.943056,0.294724,0.0,0.056944,4,c1-c5,rename
0.0,0.333333,0.72877,0.0,0.666667,4,c1-c6,add_logging
0.0,0.458333,0.619373,0.0,0.541667,4,c1-c6,add_tests
0.625,0.561111,0.476793,0.25,0.438889,4,c1-c6,benchmark
0.208333,0.430555,0.670754,0.083333,0.569444,4,c1-c6,bug_fix
0.0,0.527778,0.604581,0.0,0.472222,4,c1-c6,rename
0.0,0.972222,0.137731,0.0,0.027778,4,c2-c3,add_logging
0.0,0.541667,0.521274,0.0,0.458333,4,c2-c3,add_tests
0.666667,0.654167,0.448944,0.166666,0.345833,4,c2-c3,benchmark
0.25,0.668982,0.490699,0.0,0.331018,4,c2-c3,bug_fix
0.0,0.608333,0.414368,0.0,0.391667,4,c2-c3,rename
0.0,0.611112,0.512963,0.0,0.388888,4,c2-c4,add_logging
0.083333,0.725,0.383678,0.166667,0.275,4,c2-c4,add_tests
0.541666,0.632408,0.544112,0.416667,0.367592,4,c2-c4,benchmark
0.25,0.694907,0.434168,0.0,0.305093,4,c2-c4,bug_fix
0.0,0.75,0.437993,0.0,0.25,4,c2-c4,rename
0.0,0.638889,0.559921,0.0,0.361111,4,c2-c5,add_logging
0.083333,0.566667,0.534485,0.166667,0.433333,4,c2-c5,add_tests
0.75,0.683333,0.503211,0.0,0.316667,4,c2-c5,benchmark
0.25,0.676389,0.52076,0.0,0.323611,4,c2-c5,bug_fix
0.0,0.591667,0.504795,0.0,0.408333,4,c2-c5,rename
0.0,0.333333,0.734325,0.0,0.666667,4,c2-c6,add_logging
0.0,0.625,0.503858,0.0,0.375,4,c2-c6,add_tests
0.625,0.555555,0.444152,0.25,0.444445,4,c2-c6,benchmark
0.208333,0.506945,0.597647,0.083333,0.493055,4,c2-c6,bug_fix
0.0,0.5,0.598316,0.0,0.5,4,c2-c6,rename
0.0,0.634259,0.491204,0.0,0.365741,4,c3-c4,add_logging
0.083333,0.75,0.414308,0.166667,0.25,4,c3-c4,add_tests
0.458333,0.874074,0.362714,0.25,0.125926,4,c3-c4,benchmark
0.25,0.559722,0.56177,0.0,0.440278,4,c3-c4,bug_fix
0.0,0.795833,0.388687,0.0,0.204167,4,c3-c4,rename
0.0,0.666667,0.527315,0.0,0.333333,4,c3-c5,add_logging
0.083333,0.872685,0.324967,0.166667,0.127315,4,c3-c5,add_tests
0.666667,0.943056,0.314682,0.166666,0.056944,4,c3-c5,benchmark
0.25,0.645833,0.456515,0.0,0.354166,4,c3-c5,bug_fix
0.0,0.922222,0.263792,0.0,0.077777,4,c3-c5,rename
0.0,0.326389,0.741964,0.0,0.673611,4,c3-c6,add_logging
0.0,0.291667,0.785554,0.0,0.708333,4,c3-c6,add_tests
0.541667,0.458334,0.566723,0.25,0.541667,4,c3-c6,benchmark
0.208333,0.340278,0.756956,0.083333,0.659722,4,c3-c6,bug_fix
0.0,0.506945,0.595782,0.0,0.493055,4,c3-c6,rename
0.0,0.902778,0.140145,0.0,0.097222,4,c4-c5,add_logging
0.166667,0.819444,0.285378,0.0,0.180556,4,c4-c5,add_tests
0.541666,0.897355,0.275828,0.416667,0.102646,4,c4-c5,benchmark
0.25,0.870833,0.267818,0.0,0.129167,4,c4-c5,bug_fix
0.0,0.837037,0.290868,0.0,0.162963,4,c4-c5,rename
0.0,0.333334,0.780357,0.0,0.666667,4,c4-c6,add_logging
0.083333,0.479167,0.619805,0.166667,0.520833,4,c4-c6,add_tests
0.416667,0.455555,0.666231,0.166666,0.544445,4,c4-c6,benchmark
0.208333,0.4625,0.628887,0.083333,0.5375,4,c4-c6,bug_fix
0.0,0.425,0.669189,0.0,0.575,4,c4-c6,rename
0.0,0.291666,0.813955,0.0,0.708333,4,c5-c6,add_logging
0.083333,0.3125,0.777816,0.166667,0.6875,4,c5-c6,add_tests
0.625,0.491667,0.616341,0.25,0.508333,4,c5-c6,benchmark
0.208333,0.375,0.718541,0.083333,0.625,4,c5-c6,bug_fix
0.0,0.491667,0.637804,0.0,0.508333,4,c5-c6,rename
